,brand,color,gear,year,body,loc_1,usage,price
4395,پراید 131 SE,سفید,دنده‌ای,1396,یک لکه رنگ,تبریز,58000.0,44000000.0
4396,پراید 131 SE,سفید,دنده‌ای,1396,چند لکه رنگ,کرج,58.0,44500000.0
4397,پژو 206 تیپ ۵,سفید,دنده‌ای,1394,بدون رنگ,اصفهان,106.0,82000000.0
4398,سمند LX EF7 گازسوز,سفید صدفی,دنده‌ای,1388,دو لکه رنگ,اصفهان,300000.0,51000000.0
4399,سمند LX EF7 بنزینی,سفید,دنده‌ای,1396,چند لکه رنگ,تهران,50000.0,80000000.0
4400,سمند LX EF7 بنزینی,سفید,دنده‌ای,1394,بدون رنگ,تهران,73000.0,75000000.0
4401,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1388,بدون رنگ,کرمانشاه,200000.0,42000000.0
4402,پراید 111 EX,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,30000000.0
4403,پژو 206 تیپ ۲,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,90000000.0
4404,پژو 206 تیپ ۲,دلفینی,دنده‌ای,1385,دو لکه رنگ,تهران,259000.0,42500000.0
4405,پژو 206 تیپ ۲,سفید,دنده‌ای,1394,بدون رنگ,اصفهان,69000.0,75000000.0
4406,پراید 131 SX,سفید,دنده‌ای,1394,بدون رنگ,تهران,240000.0,39000000.0
4407,پژو پارس ساده,خاکستری,دنده‌ای,1393,بدون رنگ,قم,220000.0,74000000.0
4408,پژو 206 تیپ ۵,نقره‌ای,دنده‌ای,1383,چند لکه رنگ,تهران,214000.0,44500000.0
4409,پراید 131 EX,سفید,دنده‌ای,1389,چند لکه رنگ,کرج,150000.0,28500000.0
4410,پژو 405 GLX بنزینی,بژ,دنده‌ای,1384,بدون رنگ,اصفهان,254160.0,33000000.0
4411,پراید 131 دوگانه‌ سوز,نقره‌ای,دنده‌ای,1392,بدون رنگ,مشهد,21.0,38000000.0
4412,سمند LX EF7 بنزینی,سفید,دنده‌ای,1395,چند لکه رنگ,شیراز,112000.0,65000000.0
4413,پراید 111 SE,سفید,دنده‌ای,1397,بدون رنگ,تهران,53000.0,51500000.0
4414,پراید 111 SX,نوک‌مدادی,دنده‌ای,1390,دو لکه رنگ,تبریز,200000.0,36000000.0
4415,سمند LX EF7 بنزینی,سفید,دنده‌ای,1390,بدون رنگ,تهران,125000.0,55000000.0
4416,پژو 206 تیپ ۵,سفید,دنده‌ای,1397,دو لکه رنگ,تهران,26000.0,88000000.0
4417,سمند LX EF7 بنزینی,سفید,دنده‌ای,1396,بدون رنگ,مشهد,65000.0,78000000.0
4418,سمند LX EF7 گازسوز,سفید,دنده‌ای,1388,دو لکه رنگ,اصفهان,240000.0,48500000.0
4419,پژو 206 تیپ ۲,سفید,دنده‌ای,1385,یک لکه رنگ,قم,77.0,71000000.0
4420,پراید 111 EX,سفید,دنده‌ای,1397,بدون رنگ,تهران,15000.0,53500000.0
4421,پراید 131 SE,سفید,دنده‌ای,1395,چند لکه رنگ,تهران,0.0,38000000.0
4422,پراید 131 SE,سفید,دنده‌ای,1395,چند لکه رنگ,اهواز,111111.0,40000000.0
4423,پژو 405 GLX بنزینی,خاکستری,دنده‌ای,1391,چند لکه رنگ,کرج,180.0,45700000.0
4424,پراید 131 SE,سفید,دنده‌ای,1396,یک لکه رنگ,تهران,52000.0,43000000.0
4425,دنا معمولی,مشکی,دنده‌ای,1393,بدون رنگ,تهران,360.0,94000000.0
4426,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1394,بدون رنگ,کرمانشاه,100.0,63500000.0
4427,پژو 206 تیپ ۵,سفید,دنده‌ای,1396,بدون رنگ,تهران,55000.0,95000000.0
4428,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1387,دو لکه رنگ,مشهد,300.0,37500000.0
4429,پژو 206 تیپ ۲,خاکستری,دنده‌ای,1396,بدون رنگ,رشت,50000.0,82000000.0
4430,پراید 131 SE,نوک‌مدادی,دنده‌ای,1397,یک لکه رنگ,تهران,41000.0,45000000.0
4431,پژو پارس ساده,نقره‌ای,دنده‌ای,1381,بدون رنگ,تهران,340000.0,34500000.0
4432,پژو پارس ساده,سفید,دنده‌ای,1387,چند لکه رنگ,کرج,250000.0,52000000.0
4433,پراید 131 SL,خاکستری,دنده‌ای,1391,چند لکه رنگ,قم,3.0,30500000.0
4434,پراید 131 SE,سفید,دنده‌ای,1396,بدون رنگ,کرمانشاه,100000.0,44000000.0
4435,پراید 131,سفید,دنده‌ای,1398,بدون رنگ,تبریز,0.0,52000000.0
4436,پژو پارس ساده,خاکستری,دنده‌ای,1393,بدون رنگ,تهران,55.0,78000000.0
4437,پراید 131 SE,سفید,دنده‌ای,1397,بدون رنگ,مشهد,60.0,47500000.0
4438,سمند LX EF7 بنزینی,سفید,دنده‌ای,1397,بدون رنگ,تهران,44000.0,87000000.0
4439,پراید 131 EX,آبی,دنده‌ای,1389,بدون رنگ,رشت,150000.0,29000000.0
4440,سمند LX ساده,سفید,دنده‌ای,1396,بدون رنگ,تبریز,40300.0,76000000.0
4441,پراید 131 SE,نوک‌مدادی,دنده‌ای,1390,یک لکه رنگ,مشهد,240.0,32000000.0
4442,پژو پارس ساده,مشکی,دنده‌ای,1380,چند لکه رنگ,اصفهان,50000.0,28000000.0
4443,پراید 131 EX,خاکستری,دنده‌ای,1395,یک لکه رنگ,کرج,85000.0,41500000.0
4444,پراید 131 EX,سفید,دنده‌ای,1398,بدون رنگ,مشهد,0.0,8000000.0
4445,پراید 131 SE,سفید,دنده‌ای,1395,یک لکه رنگ,اهواز,97000.0,42000000.0
4446,پژو 206 تیپ ۵,مشکی,دنده‌ای,1395,بدون رنگ,تهران,90000.0,82000000.0
4447,پژو پارس ساده,سفید,دنده‌ای,1392,چند لکه رنگ,کرج,200000.0,63000000.0
4448,جک S5 دنده‌ای,سفید,دنده‌ای,1397,بدون رنگ,تهران,28000.0,265000000.0
4449,پژو 206 تیپ ۲,دلفینی,دنده‌ای,1385,دو لکه رنگ,شیراز,333333.0,41800000.0
4450,پژو 405 GLX بنزینی,نوک‌مدادی,دنده‌ای,1377,چند لکه رنگ,شیراز,360000.0,21000000.0
4451,پژو 206 تیپ ۲,سفید,دنده‌ای,1397,بدون رنگ,تهران,30000.0,81000000.0
4452,پراید 131 دوگانه‌ سوز,سفید,دنده‌ای,1378,یک لکه رنگ,تبریز,200.0,14500000.0
4453,سمند LX ساده,خاکستری,دنده‌ای,1393,یک لکه رنگ,تهران,103.0,65000000.0
4454,پراید 131 SE,سفید,دنده‌ای,1396,بدون رنگ,تهران,19500.0,44000000.0
4455,پراید 131 SE,نوک‌مدادی,دنده‌ای,1396,دو لکه رنگ,کرج,69000.0,43600000.0
4456,پراید 131 SE,سفید,دنده‌ای,1395,بدون رنگ,مشهد,40000.0,42800000.0
4457,پراید 131 SE,سفید,دنده‌ای,1394,یک لکه رنگ,تهران,175.0,39800000.0
4458,پراید 131 SE,سفید,دنده‌ای,1398,بدون رنگ,کرمانشاه,0.0,5300000.0
4459,پژو 206 تیپ ۲,خاکستری,دنده‌ای,1388,یک لکه رنگ,مشهد,320.0,54000000.0
4460,پژو 206 تیپ ۲,سفید,دنده‌ای,1397,بدون رنگ,تهران,60000.0,86000000.0
4461,پژو 206 تیپ ۲,نقره‌ای,دنده‌ای,1384,چند لکه رنگ,مشهد,230000.0,38000000.0
4462,پژو 405 GLX بنزینی,مشکی,دنده‌ای,1388,دو لکه رنگ,تهران,250.0,43000000.0
4463,سمند LX ساده,سفید,دنده‌ای,1385,چند لکه رنگ,تهران,317000.0,34800000.0
4464,پژو 206 تیپ ۲,سفید,دنده‌ای,1397,بدون رنگ,تهران,42000.0,84000000.0
4465,پژو 405 GLX بنزینی,بژ,دنده‌ای,1385,دو لکه رنگ,اهواز,30000.0,28000000.0
4466,پراید 131 EX,نقره‌ای,دنده‌ای,1387,چند لکه رنگ,تبریز,160000.0,25500000.0
4467,پژو 206 تیپ ۵,سفید,دنده‌ای,1395,بدون رنگ,شیراز,57000.0,85000000.0
4468,پژو پارس ساده,سفید,دنده‌ای,1388,چند لکه رنگ,مشهد,180000.0,50500000.0
4469,سمند LX ساده,آبی,دنده‌ای,1393,یک لکه رنگ,تبریز,98000.0,62000000.0
4470,پژو 206 تیپ ۲,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,45000000.0
4471,پژو 206 تیپ ۲,مشکی,دنده‌ای,1382,چند لکه رنگ,تبریز,100.0,33500000.0
4472,پژو 206 تیپ ۵,سفید,دنده‌ای,1393,بدون رنگ,شیراز,150000.0,68000000.0
4473,پراید 131 EX,سفید,دنده‌ای,1378,چند لکه رنگ,تبریز,240000.0,13000000.0
4474,تیبا صندوق‌دار EX,سفید,دنده‌ای,1396,یک لکه رنگ,تهران,75000.0,51000000.0
4475,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1386,یک لکه رنگ,تهران,250.0,35000000.0
4476,پژو 405 GLX بنزینی,مشکی,دنده‌ای,1391,دو لکه رنگ,تهران,130000.0,48300000.0
4477,پژو 405 GLX بنزینی,سفید,دنده‌ای,1397,بدون رنگ,تبریز,32000.0,72000000.0
4478,پراید 111 SL,مشکی,دنده‌ای,1384,چند لکه رنگ,اصفهان,0.0,20000000.0
4479,پراید 111 SX,خاکستری,دنده‌ای,1390,چند لکه رنگ,مشهد,200000.0,35700000.0
4480,پژو 405 GLX بنزینی,اطلسی,دنده‌ای,1397,بدون رنگ,کرج,50.0,75000000.0
4481,پژو 206 تیپ ۲,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,89700000.0
4482,پراید 131 SL,سفید,دنده‌ای,1388,چند لکه رنگ,اهواز,1111.0,23000000.0
4483,پراید 131 دوگانه‌ سوز,نقره‌ای,دنده‌ای,1380,دو لکه رنگ,کرج,0.0,20800000.0
4484,پژو پارس ساده,سفید,دنده‌ای,1394,یک لکه رنگ,تهران,100000.0,74000000.0
4485,پژو 206 تیپ ۲,نوک‌مدادی,دنده‌ای,1396,بدون رنگ,کرج,60000.0,77000000.0
4486,سمند LX EF7 بنزینی,خاکستری,دنده‌ای,1387,دو لکه رنگ,اصفهان,200000.0,38700000.0
4487,پراید 131 دوگانه‌ سوز,نقره‌ای,دنده‌ای,1389,چند لکه رنگ,مشهد,111110.0,27800000.0
4488,پژو 206 تیپ ۲,بژ,دنده‌ای,1382,دو لکه رنگ,تهران,200000.0,36300000.0
4489,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1388,چند لکه رنگ,کرج,197000.0,39500000.0
4490,سمند LX ساده,سفید,دنده‌ای,1396,دو لکه رنگ,تهران,70000.0,70000000.0
4491,سمند LX ساده,خاکستری,دنده‌ای,1385,دو لکه رنگ,اصفهان,300000.0,37500000.0
4492,سمند LX ساده,سفید,دنده‌ای,1387,چند لکه رنگ,کرمانشاه,12345.0,41500000.0
4493,پراید 111 SE,سفید صدفی,دنده‌ای,1395,بدون رنگ,مشهد,89.0,47500000.0
4494,پژو پارس ساده,مشکی,دنده‌ای,1382,چند لکه رنگ,اصفهان,494.0,33000000.0
4495,پژو 405 GLX بنزینی,یشمی,دنده‌ای,1377,بدون رنگ,شیراز,220000.0,20000000.0
4496,سمند LX EF7 بنزینی,سفید,دنده‌ای,1393,چند لکه رنگ,تهران,97000.0,70000000.0
4497,پراید 111 SE,مشکی,دنده‌ای,1392,دو لکه رنگ,شیراز,200000.0,36700000.0
4498,پژو 206 تیپ ۵,مشکی,دنده‌ای,1396,بدون رنگ,تهران,58000.0,91000000.0
4499,سمند LX ساده,نقره‌ای,دنده‌ای,1386,چند لکه رنگ,تبریز,22222.0,36000000.0
4500,پراید 131 SE,سفید,دنده‌ای,1397,بدون رنگ,شیراز,700.0,49500000.0
4501,تیبا صندوق‌دار EX,قهوه‌ای,دنده‌ای,1393,دو لکه رنگ,تهران,1.0,45000000.0
4502,پراید 131 دوگانه‌ سوز,زرد,دنده‌ای,1385,بدون رنگ,شیراز,302.0,25500000.0
